                                                     car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                     
 PA-1500107-6E42420D039E418DA8589E6D04825D90;3.7766;PA;Abaetetuba;0.0540;IRU;AT;Aguardando analise
 PA-1500107-1E132B14827E44789BBD6484D415134B;6.5247;PA;Abaetetuba;0.0932;IRU;AT;Aguardando analise
 PA-1500107-6D9298CEF4114720AEFCAA114FB88A0D;6.2459;PA;Abaetetuba;0.0892;IRU;AT;Aguardando analise
 PA-1500107-D3F12C5492074B52BF15DED8930F5D43;10.0045;PA;Abaetetuba;0.1429;IRU;AT;Aguardando analise
 PA-1500107-1A9301CF1F8B431FB9A4A609DAC89084;6.8568;PA;Abaetetuba;0.0980;IRU;AT;Aguardando analise
 PA-1500107-6C5947CD10484127A36FC22EA256ECFF;1.6418;PA;Abaetetuba;0.0235;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 PA-1500107-EA057A4644C54914B49DB10A0FEE1B4C;23.8676;PA;Abaetetuba;0.3410;IRU;AT;Aguardando analise
 PA-1500107-AD219EAE94F6463B9DE17A45AAF49DE5;2.8042;PA;Abaetetuba;0.0401;IRU;AT;Aguardando analise
 PA-1500107-0C6E435945AB49CA961C64499FD6D261;67.4640;PA;Abaetetuba;0.9638;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-83A3F7BB2D5746C8B3ACF5D8749FF974;2.7731;PA;Abaetetuba;0.0396;IRU;AT;Aguardando análise
 PA-1500107-56A379B064ED45FAB22567E42D5965C0;5.7589;PA;Abaetetuba;0.0823;IRU;AT;Aguardando análise
 PA-1500107-C7A2E0BF20C842CDB7D4CE42D3A9BF39;42.7275;PA;Abaetetuba;0.6104;IRU;AT;Aguardando analise
 PA-1500107-4A115AD76A91435BAC0416ABC29FC8F5;3.5577;PA;Abaetetuba;0.0508;IRU;AT;Aguardando análise
 PA-1500107-275397B0DFE14E4C8993C7E6E5897ED4;46.3738;PA;Abaetetuba;0.6625;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-C35B7C751D3C414BA85E338BC1A8DC13;0.5914;PA;Abaetetuba;0.0084;IRU;AT;Aguardando analise
 PA-1500107-9351783E429244C4AB2F2C522CC57890;55.2742;PA;Abaetetuba;0.7896;IRU;AT;Aguardando análise
 PA-1500107-1D97B248EBB74216B6FE94CCE8255C2B;0.8962;PA;Abaetetuba;0.0128;IRU;AT;Aguardando análise
 PA-1500107-B992D52F8E21406B92A85E77B49D1BB3;18.6416;PA;Abaetetuba;0.2663;IRU;AT;Aguardando análise
 PA-1500107-0F96692A66D8430ABD77148710FEDE84;4.4443;PA;Abaetetuba;0.0635;IRU;AT;Aguardando analise
 PA-1500107-7D25AC54B95046548F896C9111CD47BA;0.5623;PA;Abaetetuba;0.0080;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 PA-1500107-E4E7E3C843CB4F24892F5299AC76531B;8.4721;PA;Abaetetuba;0.1210;IRU;AT;Aguardando analise
 PA-1500107-C2AA9EEDDBC640B4AF8EDA93F2C3F253;47.0829;PA;Abaetetuba;0.6726;IRU;AT;Aguardando analise
 PA-1500107-AA070019778F457698650A7DC035587C;1.3356;PA;Abaetetuba;0.0191;IRU;AT;Aguardando analise
 PA-1500107-459942C00D6D473291F64D6EBEDDE68F;2.6418;PA;Abaetetuba;0.0377;IRU;AT;Aguardando analise
 PA-1500107-1E4423FB91534FD291F0D38BD06A22E6;18.2075;PA;Abaetetuba;0.2601;IRU;AT;Aguardando analise
 PA-1500107-D073EC7C8FD946158EE99752857E29BE;195.6537;PA;Abaetetuba;2.7951;IRU;AT;Aguardando analise
 PA-1500107-95447D35482B4853B2F2FF6E482E35AF;0.1162;PA;Abaetetuba;0.0017;IRU;AT;Aguardando analise
 PA-1500107-19D53B94C89342FE8BBC3FEB47E7ADF6;2.4670;PA;Abaetetuba;0.0352;IRU;AT;Aguardando analise
 PA-1500107-60883178DC4B408E8ACB123AA3D2E9E6;66.2619;PA;Abaetetuba;0.9466;IRU;AT;Aguardando analise
 PA-1500107-772E9FDFBBE54E09BF9B31FA8B4CCE99;43.6767;PA;Abaetetuba;0.6240;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 PA-1500107-8813834DDF764402A13EECC70C8E89D4;62.8615;PA;Abaetetuba;0.8980;IRU;PE;Aguardando analise
 PA-1500107-F5958EF81A42479197251814A2FF765D;21.5201;PA;Abaetetuba;0.3074;IRU;AT;Aguardando analise
 PA-1500107-D0B3E75BF8884E569BADD9F8FE2C6F6C;39.5218;PA;Abaetetuba;0.5646;IRU;AT;Aguardando analise
 PA-1500107-00321895496240ED8A6B91A0DAEEF89B;2.3001;PA;Abaetetuba;0.0329;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-49636662AF624CE78B29D97A42DEA366;16.5798;PA;Abaetetuba;0.2369;IRU;AT;Aguardando analise
 PA-1500107-7905CFC000284FE9913037CBA8BF4E77;1.4165;PA;Abaetetuba;0.0202;IRU;AT;Aguardando analise
 PA-1500107-0388DE16EE6C4CC2BD9C89B5D3C83C04;4.9316;PA;Abaetetuba;0.0705;IRU;AT;Aguardando analise
 PA-1500107-D8709A00EB444D708D266EA654D5F499;1.6403;PA;Abaetetuba;0.0234;IRU;AT;Aguardando analise
 PA-1500107-8D1BB070E3E6456CAFE90B03D4D05222;1.2538;PA;Abaetetuba;0.0179;IRU;AT;Aguardando analise
 PA-1500107-BC8781C773D346BA8611F9BE6C24A825;1.0420;PA;Abaetetuba;0.0149;IRU;AT;Aguardando analise
 PA-1500107-4EC6C85C2CFA4F22BBF116614439D021;0.9763;PA;Abaetetuba;0.0139;IRU;AT;Aguardando analise
 PA-1500107-46357E4059924B6988DCE2FC3CD0867D;20.8846;PA;Abaetetuba;0.2984;IRU;AT;Aguardando analise
 PA-1500107-E746480BA3864E92A56EA5566A977272;59.4652;PA;Abaetetuba;0.8495;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 PA-1500107-6E4EF4D0A0D440AA92FF732E6EC13223;5.1280;PA;Abaetetuba;0.0733;IRU;AT;Aguardando analise
 PA-1500107-40FB167F331B4C348B4C03975FC35B72;4.0820;PA;Abaetetuba;0.0583;IRU;AT;Aguardando analise
 PA-1500107-5E4CC234A6D045A1888C8D5E45021F8A;9.3625;PA;Abaetetuba;0.1338;IRU;AT;Aguardando analise
 PA-1500107-1A72F67C325D449C8D18C57A35E6AA32;2.8886;PA;Abaetetuba;0.0413;IRU;AT;Aguardando analise
 PA-1500107-6068850FD7964D099FAE8BD6238341C1;4.0123;PA;Abaetetuba;0.0573;IRU;AT;Aguardando analise
 PA-1500107-F78B696A805045BC8EBC09C7E5AF82E7;8.7533;PA;Abaetetuba;0.1250;IRU;AT;Aguardando analise
 PA-1500107-765E2C85CD2C44A59C35A788AF3A42E7;1.0434;PA;Abaetetuba;0.0149;IRU;AT;Aguardando analise
 PA-1500107-CF422C19D77C4852A390ED2F15EF905E;13.2747;PA;Abaetetuba;0.1896;IRU;AT;Aguardando analise
 PA-1500107-7DB0C1C8F6BE42DCB7F8283F812F3155;3.8708;PA;Abaetetuba;0.0553;IRU;AT;Aguardando analise
 PA-1500107-F6CF743DFAD04618A041D9987F6AB50E;4.1550;PA;Abaetetuba;0.0594;IRU;AT;Aguardando analise
 PA-1500107-48D389538DAD4B52AB39D79BA1CA9249;4.0139;PA;Abaetetuba;0.0573;IRU;AT;Aguardando analise
 PA-1500107-B2015FAD0F904D3080FCABAA593740AC;2.1733;PA;Abaetetuba;0.0310;IRU;AT;Aguardando analise
 PA-1500107-17596893AD594E69951E2C0197B1515F;5.1284;PA;Abaetetuba;0.0733;IRU;AT;Aguardando analise
 PA-1500107-2E4A37AB356D4016A8EBF038485142D1;4.8830;PA;Abaetetuba;0.0698;IRU;AT;Aguardando analise
 PA-1500107-15C5263EA06249B89506862315969385;2.3916;PA;Abaetetuba;0.0342;IRU;AT;Aguardando analise
 PA-1500107-D9A88BA0714343F09737D28A640CA8FD;30.1158;PA;Abaetetuba;0.4302;IRU;AT;Aguardando analise
 PA-1500107-6501E4558FE8418B9CB5DD8836E012FA;6.0300;PA;Abaetetuba;0.0861;IRU;AT;Aguardando analise
 PA-1500107-F192E605D3D24D7B988D8E8C901AEC0D;4.3156;PA;Abaetetuba;0.0002;AST;AT;Aguardando analise
 PA-1500107-3C65DB353BC84906AC76B544CD9791AB;46.5027;PA;Abaetetuba;0.0022;AST;AT;Aguardando analise
 PA-1500107-6C49949CB8A944C583F9AED121F6874B;19.4584;PA;Abaetetuba;0.2780;IRU;AT;Aguardando analise
 PA-1500107-2CE0D8149AF245FAACA46F4E886B9334;81.0141;PA;Abaetetuba;1.1573;IRU;AT;Aguardando analise
 PA-1500107-28CF315D9E4E41A9823E3C9C84DC07E3;37.3765;PA;Abaetetuba;0.5339;IRU;AT;Aguardando analise
 PA-1500107-61F5AF250F8F4053ACCD5EB8E416875A;43.9571;PA;Abaetetuba;0.6280;IRU;AT;Aguardando analise
 PA-1500107-FCC317952CB547329B53B4A8C3F35EDB;0.7415;PA;Abaetetuba;0.0106;IRU;AT;Aguardando analise
 PA-1500107-2D0A79A2652A494C90A0C4E7764CAD83;78.3801;PA;Abaetetuba;1.1197;IRU;AT;Aguardando analise
 PA-1500107-FB1ABA13A8E14360BAF9B7FC1B6A5783;4.2138;PA;Abaetetuba;0.0602;IRU;AT;Aguardando analise
 PA-1500107-EA01CC86D1D14E60A7B705EAD693201B;2.4093;PA;Abaetetuba;0.0344;IRU;AT;Aguardando analise
 PA-1500107-93B7C5C330D14D96824622F74140A08F;3.0051;PA;Abaetetuba;0.0429;IRU;AT;Aguardando analise
 PA-1500107-3DC3D357F1534C589C9A61CECDAC22C0;32.9517;PA;Abaetetuba;0.4707;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 PA-1500107-64A6C6DCCB7D4CC28AF777FD12F5C6FC;41.7528;PA;Abaetetuba;0.5965;IRU;AT;Aguardando analise
 PA-1500107-F259064D5B6E49E6AF07158C1FA3AFA1;1.6960;PA;Abaetetuba;0.0242;IRU;AT;Aguardando analise
 PA-1500107-B15A620FD6F34A629A583655E594FE65;16.4328;PA;Abaetetuba;0.2348;IRU;AT;Aguardando analise
 PA-1500107-AB9A4577796040CFB2F1AFBA75F1DBF6;3.8346;PA;Abaetetuba;0.0548;IRU;AT;Aguardando analise
 PA-1500107-298EA221EFF44492B4977FBF4ABD8E33;110.9882;PA;Abaetetuba;1.5855;IRU;AT;Aguardando analise
 PA-1500107-00CB69E7F7024133ADE80FB14C432B95;24.4598;PA;Abaetetuba;0.3494;IRU;AT;Aguardando analise
 PA-1500107-182072C14C7F40858D808D7EA6D1E8FA;40.0415;PA;Abaetetuba;0.5720;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 PA-1500107-162A77A06C05474E98BBF782D064FA2C;146.7403;PA;Abaetetuba;2.0963;IRU;AT;Analisado, aguardando regularização ambiental (Lei nº 12.651/2012)
 PA-1500107-BE1D4C32AD2F495287FBF12BEFE04C02;37.6479;PA;Abaetetuba;0.5378;IRU;AT;Aguardando analise
 PA-1500107-92CA8C6AB43548079BE80746C6AF0E99;34.8570;PA;Abaetetuba;0.4980;IRU;AT;Aguardando analise
 PA-1500107-B70D432D2CC443CBA3C7CD98BF6EAD2B;31.7195;PA;Abaetetuba;0.4531;IRU;AT;Aguardando analise
 PA-1500107-E11FC19A2A3E45A2B61A359FB23A3AC8;76.5997;PA;Abaetetuba;1.0943;IRU;AT;Aguardando analise
 PA-1500107-446673C3F2FC4766A6269540ED28CE46;6.2814;PA;Abaetetuba;0.0897;IRU;AT;Aguardando analise
 PA-1500107-3C62AE7731A3487092E494BF25CB4CEB;23.2709;PA;Abaetetuba;0.3324;IRU;AT;Aguardando analise
 PA-1500107-0A695FEA626C4BDF8B7E069E0ACBB9F0;31.3715;PA;Abaetetuba;0.4482;IRU;AT;Aguardando analise
 PA-1500107-8717F8901ADF4C5BA416579B1A22C360;4.4360;PA;Abaetetuba;0.0634;IRU;AT;Aguardando analise
