"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Baixo Amazonas";"DIM_AMBIENTAL";44,1383333333333;7;2;"1506807,1504802,1506005,1505908,1505304,1503002,1503903"
"Baixo Amazonas";"DIM_ECONOMICA";41,9687142857143;7;2;"1506807,1504802,1506005,1505908,1505304,1503002,1503903"
"Baixo Amazonas";"DIM_SOCIAL";43,0071428571429;7;2;"1506807,1504802,1506005,1505908,1505304,1503002,1503903"
"Sudoeste Paraense";"DIM_AMBIENTAL";43,9733333333333;7;2;"1508050,1505031,1500859,1507805,1506195,1500602,1501006"
"Sudoeste Paraense";"DIM_ECONOMICA";45,825;7;2;"1508050,1505031,1500859,1507805,1506195,1500602,1501006"
"Sudoeste Paraense";"DIM_SOCIAL";41,3748571428571;7;2;"1508050,1505031,1500859,1507805,1506195,1500602,1501006"
"Metropolitana de Belém";"DIM_AMBIENTAL";59,6935714285714;7;2;"1504422,1502400,1507003,1501501,1506500,1500800,1501907"
"Metropolitana de Belém";"DIM_ECONOMICA";55,5432857142857;7;2;"1504422,1502400,1507003,1501501,1506500,1500800,1501907"
"Metropolitana de Belém";"DIM_SOCIAL";56,7205714285714;7;2;"1504422,1502400,1507003,1501501,1506500,1500800,1501907"
"Nordeste Paraense";"DIM_AMBIENTAL";46,3964814814815;9;2;"1502301,1503507,1502608,1503200,1508308,1500107,1506609,1504000,1505601"
"Nordeste Paraense";"DIM_ECONOMICA";40,1962222222222;9;2;"1502301,1503507,1502608,1503200,1508308,1500107,1506609,1504000,1505601"
"Nordeste Paraense";"DIM_SOCIAL";45,2964444444444;9;2;"1502301,1503507,1502608,1503200,1508308,1500107,1506609,1504000,1505601"
"Sudeste Paraense";"DIM_AMBIENTAL";47,0572222222222;9;2;"1508084,1506161,1508407,1504976,1502707,1505064,1505502,1503044,1505437"
"Sudeste Paraense";"DIM_ECONOMICA";51,0304444444444;9;2;"1508084,1506161,1508407,1504976,1502707,1505064,1505502,1503044,1505437"
"Sudeste Paraense";"DIM_SOCIAL";49,4186666666667;9;2;"1508084,1506161,1508407,1504976,1502707,1505064,1505502,1503044,1505437"
"Marajó";"DIM_AMBIENTAL";47,5112962962963;9;2;"1502806,1506401,1504505,1507706,1507904,1502004,1501105,1505700,1505809"
"Marajó";"DIM_ECONOMICA";39,0373333333333;9;2;"1502806,1506401,1504505,1507706,1507904,1502004,1501105,1505700,1505809"
"Marajó";"DIM_SOCIAL";38,6457777777778;9;2;"1502806,1506401,1504505,1507706,1507904,1502004,1501105,1505700,1505809"
"Baixo Amazonas";"DIM_AMBIENTAL";41,717962962963;9;2;"1505106,1502855,1507979,1504802,1503002,1501451,1505650,1506005,1506807"
"Baixo Amazonas";"DIM_ECONOMICA";41,8473333333333;9;2;"1505106,1502855,1507979,1504802,1503002,1501451,1505650,1506005,1506807"
"Baixo Amazonas";"DIM_SOCIAL";44,8333333333333;9;2;"1505106,1502855,1507979,1504802,1503002,1501451,1505650,1506005,1506807"
"Sudoeste Paraense";"DIM_AMBIENTAL";43,8798148148148;9;2;"1505031,1508159,1504455,1506195,1505486,1508050,1503606,1507805,1503754"
"Sudoeste Paraense";"DIM_ECONOMICA";45,3582222222222;9;2;"1505031,1508159,1504455,1506195,1505486,1508050,1503606,1507805,1503754"
"Sudoeste Paraense";"DIM_SOCIAL";40,0824444444444;9;2;"1505031,1508159,1504455,1506195,1505486,1508050,1503606,1507805,1503754"
"Metropolitana de Belém";"DIM_AMBIENTAL";61,0911111111111;9;2;"1501501,1506500,1507003,1504422,1506351,1501303,1500800,1502400,1501907"
"Metropolitana de Belém";"DIM_ECONOMICA";55,5747777777778;9;2;"1501501,1506500,1507003,1504422,1506351,1501303,1500800,1502400,1501907"
"Metropolitana de Belém";"DIM_SOCIAL";54,5324444444444;9;2;"1501501,1506500,1507003,1504422,1506351,1501303,1500800,1502400,1501907"
