Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2020,Incremento20192020,Floresta2020,Nuvem2020,NaoObservado2020,NaoFloresta2020,Hidrografia2020,Soma 
 118,-5.76373,-48.49835,S 5 45 49.43,O 48 29 54.06,Brejo Grande do Araguaia,1501758,PA,1292,1073.5,1.4,162.0,0.0,0.0,29.8,26.7,100
 119,-3.30359,-52.60961,S 3 18 12.92,O 52 36 34.60,Brasil Novo,1501725,PA,6368,2743.1,26.8,3574.2,45.7,0.0,0.1,4.9,100
 120,-0.95528,-46.65764,S 0 57 19.01,O 46 39 27.50,Bragança,1501709,PA,2107,1725.4,0.4,279.6,8.2,0.0,37.6,56.2,100
 121,-1.39347,-47.31005,S 1 23 36.49,O 47 18 36.18,Bonito,1501600,PA,590,544.3,0.3,45.7,0.0,0.0,0.0,0.0,100
 122,-5.02798,-48.77112,S 5 1 40.73,O 48 46 16.03,Bom Jesus do Tocantins,1501576,PA,2827,1808.9,19.1,908.9,0.0,0.0,70.0,39.2,100
 123,-1.36009,-48.26134,S 1 21 36.32,O 48 15 40.82,Benevides,1501501,PA,189,125.8,0.3,54.9,0.0,0.0,0.0,8.3,100
 124,-3.24702,-54.93686,S 3 14 49.27,O 54 56 12.70,Belterra,1501451,PA,4399,841.9,4.4,2895.7,55.9,0.0,0.0,605.5,100
 125,-1.27265,-48.50024,S 1 16 21.54,O 48 30 0.86,Belém,1501402,PA,1070,252.2,0.2,229.4,0.0,0.0,7.1,581.3,100
 126,-1.44539,-48.63703,S 1 26 43.40,O 48 38 13.31,Barcarena,1501303,PA,1316,336.7,2.6,449.7,0.0,0.0,1.9,527.7,100
 127,-7.47905,-50.67811,S 7 28 44.58,O 50 40 41.20,Bannach,1501253,PA,2964,2199.2,2.2,702.3,0.0,0.0,62.5,0.0,100
 128,-3.16791,-49.75057,S 3 10 4.48,O 49 45 2.05,Baião,1501204,PA,3768,1637.2,6.4,1419.5,0.0,0.0,475.4,235.9,100
 129,-2.48368,-50.18049,S 2 29 1.25,O 50 10 49.76,Bagre,1501105,PA,4403,215.6,3.3,3859.9,9.2,0.0,61.5,256.8,100
 130,-3.76278,-56.01333,S 3 45 46.01,O 56 0 47.99,Aveiro,1501006,PA,17089,1398.8,35.0,14460.0,492.8,0.0,18.4,719.0,100
 131,-2.26004,-47.70690,S 2 15 36.14,O 47 42 24.84,Aurora do Pará,1500958,PA,1824,1566.0,3.1,239.6,1.1,0.0,0.0,17.3,100
 132,-0.99609,-46.42827,S 0 59 45.92,O 46 25 41.77,Augusto Corrêa,1500909,PA,1100,728.8,0.0,281.4,8.8,0.0,4.7,76.3,100
 133,-3.94708,-51.35268,S 3 56 49.49,O 51 21 9.65,Anapu,1500859,PA,11910,2932.8,112.6,8796.9,0.0,0.0,6.8,173.5,100
 134,-1.34293,-48.39038,S 1 20 34.55,O 48 23 25.37,Ananindeua,1500800,PA,185,87.3,0.0,79.3,0.0,0.0,0.0,18.4,100
 135,-0.79152,-49.99786,S 0 47 29.47,O 49 59 52.30,Anajás,1500701,PA,6940,178.3,0.9,5851.8,564.0,0.0,209.1,136.8,99
 136,-6.31664,-54.26280,S 6 18 59.90,O 54 15 46.08,Altamira,1500602,PA,159540,10536.4,799.1,143514.1,60.6,0.0,3760.6,1668.3,100
 137,0.40528,-54.00657,N 0 24 19.01,O 54 0 23.65,Almeirim,1500503,PA,72964,1924.6,25.0,61355.4,5937.9,0.0,2715.5,1030.6,100
 138,-0.30798,-55.15106,S 0 18 28.73,O 55 9 3.82,Alenquer,1500404,PA,22286,1536.3,29.5,17460.1,223.6,0.0,2476.4,589.6,100
 139,-6.76170,-50.32800,S 6 45 42.12,O 50 19 40.80,Água Azul do Norte,1500347,PA,7125,4683.3,9.3,2290.8,23.0,0.0,127.9,0.0,99
 140,-0.23850,-50.74083,S 0 14 18.60,O 50 44 26.99,Afuá,1500305,PA,8382,29.2,0.0,3931.9,1393.6,0.0,286.7,2740.6,100
 141,-2.03379,-48.31904,S 2 2 1.64,O 48 19 8.54,Acará,1500206,PA,4361,2437.0,15.8,1809.9,0.3,0.0,43.3,70.5,100
 142,-4.96265,-48.39406,S 4 57 45.54,O 48 23 38.62,Abel Figueiredo,1500131,PA,616,573.2,1.2,42.8,0.0,0.0,0.0,0.0,100
 143,-1.73866,-48.85524,S 1 44 19.18,O 48 51 18.86,Abaetetuba,1500107,PA,1617,698.4,1.3,491.2,0.2,0.0,13.6,413.6,100
