datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.4,0.2,-1.882,-48.331,12.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.2,0.2,-1.883,-48.279,29.2
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.5,0.2,-1.88,-48.342,20.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,3,0.1,0.7,-1.868,-51.013,71.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,3,0.1,0.7,-1.866,-51.018,42.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,3,0,0.7,-1.865,-50.988,46.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,3,0,0.7,-1.862,-50.993,45.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,3,0.7,0.1,-1.851,-48.528,32.4
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,3,0.9,0.1,-1.849,-48.512,56.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.3,0.2,-1.852,-48.289,13.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.7,0.1,-1.847,-48.336,17
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.5,0.2,-1.845,-48.321,21.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,4,0.6,0.3,-1.841,-48.213,21.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.6,0.1,-1.831,-48.386,24.6
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.2,0.2,-1.822,-48.324,52.9
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.1,0.2,-1.82,-48.309,241.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,3,2.3,0.1,-1.793,-48.455,11
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,3,2.2,0.1,-1.795,-48.471,91.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,4,0.2,0.3,-1.752,-48.232,32.2
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,4,0.2,0.3,-1.75,-48.217,34.9
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,3,2.4,0.1,-1.787,-48.479,40.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,3,2.4,0.1,-1.785,-48.463,44.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CAPITAO POCO,Amazonia,5,0,0.6,-1.768,-47.073,21.9
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,BUJARU,Amazonia,4,0,0.5,-1.753,-47.999,30.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CAPITAO POCO,Amazonia,5,0,0.6,-1.765,-47.125,14.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,5,0,0.9,-1.735,-49.659,26.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,5,0,0.9,-1.703,-49.805,47.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,5,0,0.6,-1.693,-49.811,78.2
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,SAO DOMINGOS DO CAPIM,Amazonia,5,0,0.7,-1.68,-47.657,46
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,BARCARENA,Amazonia,3,2.9,0.1,-1.654,-48.601,14.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,IRITUIA,Amazonia,4,0,0.7,-1.642,-47.552,34.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,0.8,0.2,-1.642,-48.346,16.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,0.8,0.2,-1.64,-48.331,26
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PORTO DE MOZ,Amazonia,2,0.7,0.1,-1.639,-52.085,41.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PORTO DE MOZ,Amazonia,2,0.8,0.1,-1.635,-52.055,81.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,-999,3.1,0.3,-1.625,-50.078,25.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,5,1.9,0.4,-1.624,-49.972,114.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,0.6,0.2,-1.619,-48.35,29.9
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,0.5,0.2,-1.608,-48.342,22.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,5,1.6,0.4,-1.621,-49.952,19.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,VISEU,Amazonia,6,0,0.8,-1.597,-46.381,13.4
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,VISEU,Amazonia,6,0,0.8,-1.597,-46.376,11.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,-999,4.1,0.2,-1.59,-50.019,28.6
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CAPITAO POCO,Amazonia,5,0,0.6,-1.59,-47.111,14.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,3,4,0.2,-1.587,-49.999,36
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,BREVES,Amazonia,-999,12.8,0,-1.586,-50.442,34.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,GURUPA,Amazonia,1,0.6,0.1,-1.584,-51.592,29.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,0.4,0.2,-1.585,-48.268,28.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,BUJARU,Amazonia,3,0.3,0.2,-1.583,-48.261,30.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,BUJARU,Amazonia,3,0.4,0.2,-1.583,-48.253,11.9
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,GURUPA,Amazonia,1,0.5,0.1,-1.582,-51.587,51.9
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,CURRALINHO,Amazonia,-999,5.3,0.1,-1.553,-50.046,21.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SANTANA DO ARAGUAIA,Amazonia,120,0,1,-9.798,-50.534,68.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,106,0,1,-9.721,-51.635,169
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,106,0,1,-9.718,-51.644,126.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SANTANA DO ARAGUAIA,Amazonia,113,0,-999,-9.327,-50.348,156.9
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,45,0,1,-8.891,-51.49,75.4
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,44,0,1,-8.844,-51.106,73.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,109,0,1,-8.804,-50.154,59.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,109,0,1,-8.803,-50.147,74.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,105,0,1,-8.769,-49.874,39.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,105,0,1,-8.76,-50.047,59.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,77,0,1,-8.595,-51.151,85.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,24,0,1,-8.577,-51.337,250.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,24,0,1,-8.584,-51.33,75
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,24,0,1,-8.567,-51.331,118.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,4,0,0.8,-3.583,-50.053,30.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,5,0,1,-3.498,-50.403,42.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,5,0,1,-3.494,-50.379,218.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,35,0,1,-3.482,-47.914,17
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,11,0,0.9,-3.469,-50.193,19.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,5,0,1,-3.414,-50.347,23.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,5,0,1,-3.417,-50.371,39.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,13,0,1,-3.407,-50.3,20.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,5,0,1,-3.386,-50.351,69.3
